time,latitude,longitude_deg_east,u_mean_ms,v_mean_ms,uv_mag_mean_ms
2011-06-17T00:00:00Z,37.5,237.5,3.2890878,-5.135356,7.3583126
2011-07-17T12:00:00Z,37.5,237.5,3.8057802,-6.270158,7.58494
2011-08-17T12:00:00Z,37.5,237.5,4.0314646,-6.2158465,7.5408196
2011-09-17T00:00:00Z,37.5,237.5,1.9605242,-4.040049,4.9504614
2011-10-17T12:00:00Z,37.5,237.5,0.86584747,-3.2722511,4.4711804
2011-11-17T00:00:00Z,37.5,237.5,-0.03733939,-1.9857197,5.1976485
2011-12-17T12:00:00Z,37.5,237.5,-0.62052757,-3.090967,4.379869
2012-01-17T12:00:00Z,37.5,237.5,0.7485584,-2.5462708,5.435185
2012-02-16T12:00:00Z,37.5,237.5,0.84588456,-3.0161061,6.3149114
2012-03-17T12:00:00Z,37.5,237.5,2.647759,-0.6068545,5.7693763
2012-04-17T00:00:00Z,37.5,237.5,2.7855368,-3.9362297,6.2634583
2012-05-17T12:00:00Z,37.5,237.5,4.548904,-7.8427315,9.519362
2012-06-17T00:00:00Z,37.5,237.5,4.6184573,-8.431165,9.937003
2012-07-17T12:00:00Z,37.5,237.5,5.890184,-7.9954524,10.134174
2012-08-17T12:00:00Z,37.5,237.5,4.8418894,-7.8194427,9.438299
2012-09-17T00:00:00Z,37.5,237.5,4.063378,-6.9131227,8.1379595
2012-10-17T12:00:00Z,37.5,237.5,1.6307731,-3.0558093,5.079932
2012-11-17T00:00:00Z,37.5,237.5,0.5837668,0.3006081,5.30159
2012-12-17T12:00:00Z,37.5,237.5,1.2485614,0.75620675,5.885126
2013-01-17T12:00:00Z,37.5,237.5,0.120276436,-2.503058,4.4137545
2013-02-16T00:00:00Z,37.5,237.5,1.8038063,-4.465031,5.743364
2013-03-17T12:00:00Z,37.5,237.5,2.5514164,-4.3217134,6.415769
2013-04-17T00:00:00Z,37.5,237.5,3.1626925,-6.55634,7.9664187
2013-05-17T12:00:00Z,37.5,237.5,4.14349,-6.086928,8.371
2013-06-17T00:00:00Z,37.5,237.5,5.4684944,-7.6021147,9.801639
2013-07-17T12:00:00Z,37.5,237.5,7.205449,-7.25894,10.356182
2013-08-17T12:00:00Z,37.5,237.5,5.6997046,-6.778457,8.96236
2013-09-17T00:00:00Z,37.5,237.5,4.144675,-5.750576,7.499429
2013-10-17T12:00:00Z,37.5,237.5,2.2451649,-4.1139655,5.9696183
2013-11-17T00:00:00Z,37.5,237.5,0.3616313,-2.365229,4.6788588
2013-12-17T12:00:00Z,37.5,237.5,0.043605167,-2.3442001,4.0680375
2014-01-17T12:00:00Z,37.5,237.5,-0.16907717,-1.5049987,3.8382955
2014-02-16T00:00:00Z,37.5,237.5,1.8177013,-0.63926744,5.730113
2014-03-17T12:00:00Z,37.5,237.5,1.4288105,-1.4509345,5.4952602
2014-04-17T00:00:00Z,37.5,237.5,3.426149,-3.9016418,6.2888603
2014-05-17T12:00:00Z,37.5,237.5,4.544662,-5.963328,8.062264
2014-06-17T00:00:00Z,37.5,237.5,6.506191,-7.119244,9.811932
2014-07-17T12:00:00Z,37.5,237.5,5.806353,-5.8389754,8.401804
2014-08-17T12:00:00Z,37.5,237.5,5.49419,-5.353164,7.7983804
2014-09-17T00:00:00Z,37.5,237.5,4.126222,-3.8732734,5.950201
2014-10-17T12:00:00Z,37.5,237.5,1.2748543,-2.363088,4.1490426
2014-11-17T00:00:00Z,37.5,237.5,0.22729191,-0.36808988,3.5964262
2014-12-17T12:00:00Z,37.5,237.5,-0.5674698,1.7024375,5.5269403
2015-01-17T12:00:00Z,37.5,237.5,-0.5806724,-0.68380827,2.9444034
2015-02-16T00:00:00Z,37.5,237.5,1.3454093,-0.42971978,4.746913
2015-03-17T12:00:00Z,37.5,237.5,1.8012234,-3.1926076,4.499845
2015-04-17T00:00:00Z,37.5,237.5,3.6769328,-4.499873,6.9445767
2015-05-17T12:00:00Z,37.5,237.5,6.358243,-4.523305,7.9818654
2015-06-17T00:00:00Z,37.5,237.5,6.024771,-5.953437,8.663707
2015-07-17T12:00:00Z,37.5,237.5,5.3604655,-4.6361775,7.2346506
2015-08-17T12:00:00Z,37.5,237.5,4.773599,-5.01437,7.1207743
2015-09-17T00:00:00Z,37.5,237.5,3.4635725,-4.522188,6.1571
